PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:34:34,855

Sample #,Voltage (V),Current(A)
  224, -227.251, 0.02908
  225, -220.577, 0.02957
  226, -213.972, 0.02925
  227, -207.462, 0.02832
  228, -201.044, 0.02793
  229, -194.694, 0.02862
  230, -188.366, 0.02944
  231, -182.017, 0.02936
  232, -175.600, 0.02852
  233, -169.073, 0.02823
  234, -162.405, 0.02926
  235, -155.588, 0.03072
  236, -148.645, 0.03120
  237, -141.614, 0.03042
  238, -134.524, 0.02965
  239, -127.374, 0.03016
  240, -120.156, 0.03167
  241, -112.895, 0.03251
  242, -105.678, 0.03157
  243, -98.610, 0.02955
  244, -91.730, 0.02839
  245, -84.939, 0.02919
  246, -78.032, 0.03132
  247, -70.814, 0.03316
  248, -63.213, 0.03376
  249, -55.283, 0.03378
  250, -47.089, 0.03451
  251, -38.617, 0.03649
  252, -29.793, 0.03889
  253, -20.597, 0.04027
  254, -11.152, 0.04012
  255, -1.669, 0.03926
  256, 7.679, 0.03899
  257, 16.837, 0.03971
  258, 25.810, 0.04040
  259, 34.580, 0.03962
  260, 43.076, 0.03711
  261, 51.235, 0.03407
  262, 59.038, 0.03214
  263, 66.487, 0.03177
  264, 73.574, 0.03176
  265, 80.305, 0.03078
  266, 86.769, 0.02876
  267, 93.142, 0.02715
  268, 99.584, 0.02727
  269, 106.138, 0.02878
  270, 112.732, 0.02991
  271, 119.277, 0.02943
  272, 125.765, 0.02783
  273, 132.248, 0.02680
  274, 138.756, 0.02731
  275, 145.248, 0.02842
  276, 151.661, 0.02860
  277, 157.969, 0.02749
  278, 164.201, 0.02636
  279, 170.398, 0.02657
  280, 176.575, 0.02787
  281, 182.733, 0.02881
  282, 188.896, 0.02838
  283, 195.109, 0.02724
  284, 201.392, 0.02677
  285, 207.711, 0.02725
  286, 213.996, 0.02763
  287, 220.203, 0.02696
  288, 226.358, 0.02580
  289, 232.540, 0.02577
  290, 238.817, 0.02726
  291, 245.183, 0.02880
  292, 251.546, 0.02855
  293, 257.783, 0.02655
  294, 263.824, 0.02478
  295, 269.699, 0.02490
  296, 275.496, 0.02653
  297, 281.255, 0.02761
  298, 286.882, 0.02651
  299, 292.145, 0.02338
  300, 296.772, 0.01957
  301, 300.582, 0.01609
  302, 303.551, 0.01314
  303, 305.802, 0.01055
  304, 307.552, 0.00849
  305, 309.027, 0.00726
  306, 310.401, 0.00674
  307, 311.768, 0.00661
  308, 313.136, 0.00652
  309, 314.458, 0.00638
  310, 315.668, 0.00615
  311, 316.715, 0.00573
  312, 317.581, 0.00503
  313, 318.283, 0.00411
  314, 318.855, 0.00336
  315, 319.316, 0.00300
  316, 319.644, 0.00280
  317, 319.797, 0.00225
  318, 319.749, 0.00111
  319, 319.522, -0.00005
  320, 319.176, -0.00021
  321, 318.776, 0.00068
  322, 318.354, 0.00145
  323, 317.912, 0.00179
  324, 317.447, 0.00501
  325, 316.964, 0.01759
  326, 316.477, 0.04344
  327, 316.005, 0.07819
  328, 315.552, 0.11014
  329, 315.094, 0.12867
  330, 314.591, 0.13254
  331, 314.022, 0.12901
  332, 313.420, 0.12445
  333, 312.853, 0.11724
  334, 312.339, 0.10038
  335, 311.772, 0.07105
  336, 310.919, 0.03607
  337, 309.533, 0.00707
  338, 307.485, -0.00873
  339, 304.782, -0.01320
  340, 301.493, -0.01352
  341, 297.628, -0.01516
  342, 293.131, -0.01884
  343, 287.944, -0.02266
  344, 282.093, -0.02525
  345, 275.695, -0.02676
  346, 268.906, -0.02795
  347, 261.875, -0.02900
  348, 254.727, -0.02965
  349, 247.577, -0.02980
  350, 240.520, -0.02966
  351, 233.606, -0.02952
  352, 226.834, -0.02935
  353, 220.166, -0.02904
  354, 213.575, -0.02838
  355, 207.058, -0.02754
  356, 200.626, -0.02682
  357, 194.276, -0.02644
  358, 187.976, -0.02642
  359, 181.678, -0.02649
  360, 175.335, -0.02655
  361, 168.895, -0.02676
  362, 162.316, -0.02712
  363, 155.581, -0.02770
  364, 148.716, -0.02835
  365, 141.769, -0.02897
  366, 134.758, -0.02973
  367, 127.656, -0.03042
  368, 120.439, -0.03085
