PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:32:36,925

Sample #,Voltage (V),Current(A)
  224, -226.364, 0.02718
  225, -219.857, 0.02698
  226, -213.445, 0.02675
  227, -207.091, 0.02623
  228, -200.787, 0.02608
  229, -194.547, 0.02684
  230, -188.365, 0.02787
  231, -182.179, 0.02818
  232, -175.901, 0.02774
  233, -169.473, 0.02759
  234, -162.891, 0.02856
  235, -156.188, 0.02997
  236, -149.389, 0.03057
  237, -142.489, 0.03005
  238, -135.474, 0.02952
  239, -128.340, 0.03010
  240, -121.107, 0.03151
  241, -113.830, 0.03221
  242, -106.593, 0.03121
  243, -99.474, 0.02925
  244, -92.496, 0.02812
  245, -85.575, 0.02875
  246, -78.546, 0.03042
  247, -71.242, 0.03174
  248, -63.580, 0.03208
  249, -55.587, 0.03221
  250, -47.337, 0.03320
  251, -38.869, 0.03532
  252, -30.144, 0.03777
  253, -21.116, 0.03929
  254, -11.802, 0.03948
  255, -2.329, 0.03892
  256, 7.128, 0.03864
  257, 16.425, 0.03910
  258, 25.484, 0.03951
  259, 34.284, 0.03871
  260, 42.820, 0.03640
  261, 51.089, 0.03372
  262, 59.082, 0.03219
  263, 66.759, 0.03211
  264, 74.058, 0.03206
  265, 80.935, 0.03057
  266, 87.448, 0.02788
  267, 93.772, 0.02594
  268, 100.117, 0.02635
  269, 106.605, 0.02842
  270, 113.219, 0.02988
  271, 119.858, 0.02937
  272, 126.436, 0.02767
  273, 132.922, 0.02668
  274, 139.322, 0.02717
  275, 145.643, 0.02793
  276, 151.897, 0.02757
  277, 158.110, 0.02620
  278, 164.308, 0.02534
  279, 170.496, 0.02594
  280, 176.657, 0.02722
  281, 182.784, 0.02770
  282, 188.914, 0.02701
  283, 195.104, 0.02639
  284, 201.368, 0.02711
  285, 207.664, 0.02873
  286, 213.924, 0.02959
  287, 220.124, 0.02866
  288, 226.308, 0.02690
  289, 232.546, 0.02619
  290, 238.879, 0.02711
  291, 245.263, 0.02836
  292, 251.592, 0.02834
  293, 257.774, 0.02696
  294, 263.788, 0.02565
  295, 269.703, 0.02542
  296, 275.596, 0.02581
  297, 281.434, 0.02540
  298, 287.021, 0.02335
  299, 292.071, 0.02009
  300, 296.355, 0.01663
  301, 299.812, 0.01355
  302, 302.524, 0.01094
  303, 304.629, 0.00877
  304, 306.266, 0.00724
  305, 307.589, 0.00651
  306, 308.777, 0.00642
  307, 309.989, 0.00672
  308, 311.283, 0.00709
  309, 312.600, 0.00709
  310, 313.824, 0.00636
  311, 314.873, 0.00493
  312, 315.737, 0.00328
  313, 316.446, 0.00213
  314, 317.037, 0.00188
  315, 317.531, 0.00221
  316, 317.932, 0.00234
  317, 318.233, 0.00171
  318, 318.418, 0.00046
  319, 318.484, -0.00045
  320, 318.437, -0.00014
  321, 318.292, 0.00099
  322, 318.058, 0.00131
  323, 317.739, 0.00001
  324, 317.348, 0.00002
  325, 316.912, 0.00838
  326, 316.459, 0.03196
  327, 316.005, 0.07109
  328, 315.546, 0.11734
  329, 315.081, 0.15830
  330, 314.616, 0.18473
  331, 314.153, 0.19436
  332, 313.681, 0.18867
  333, 313.177, 0.16886
  334, 312.628, 0.13575
  335, 312.022, 0.09331
  336, 311.298, 0.05032
  337, 310.295, 0.01674
  338, 308.759, -0.00268
  339, 306.427, -0.01065
  340, 303.139, -0.01376
  341, 298.886, -0.01709
  342, 293.784, -0.02139
  343, 288.004, -0.02530
  344, 281.716, -0.02781
  345, 275.074, -0.02913
  346, 268.214, -0.03007
  347, 261.245, -0.03072
  348, 254.244, -0.03079
  349, 247.261, -0.03027
  350, 240.344, -0.02942
  351, 233.535, -0.02873
  352, 226.860, -0.02830
  353, 220.316, -0.02803
  354, 213.874, -0.02786
  355, 207.514, -0.02773
  356, 201.237, -0.02773
  357, 195.037, -0.02768
  358, 188.872, -0.02748
  359, 182.667, -0.02719
  360, 176.350, -0.02699
  361, 169.891, -0.02733
  362, 163.291, -0.02828
  363, 156.547, -0.02947
  364, 149.639, -0.03050
  365, 142.552, -0.03096
  366, 135.309, -0.03110
  367, 127.964, -0.03127
  368, 120.591, -0.03163
  369, 113.263, -0.03209
  370, 106.039, -0.03221
  371, 98.947, -0.03190
  372, 91.946, -0.03138
  373, 84.941, -0.03107
  374, 77.803, -0.03130
  375, 70.431, -0.03205
  376, 62.765, -0.03314
  377, 54.786, -0.03430
  378, 46.490, -0.03543
  379, 37.884, -0.03648
  380, 28.983, -0.03754
  381, 19.818, -0.03860
  382, 10.448, -0.03955
  383, 0.974, -0.04016
  384, -8.471, -0.04032
  385, -17.762, -0.04003
  386, -26.816, -0.03939
  387, -35.599, -0.03847
  388, -44.108, -0.03737
  389, -52.342, -0.03612
  390, -60.281, -0.03467
  391, -67.877, -0.03286
  392, -75.068, -0.03067
  393, -81.837, -0.02848
  394, -88.272, -0.02698
  395, -94.561, -0.02662
  396, -100.899, -0.02718
  397, -107.369, -0.02802
  398, -113.916, -0.02851
  399, -120.437, -0.02859
  400, -126.886, -0.02849
  401, -133.286, -0.02830
  402, -139.673, -0.02808
  403, -146.041, -0.02768
  404, -152.354, -0.02729
  405, -158.594, -0.02697
  406, -164.772, -0.02679
  407, -170.908, -0.02690
  408, -177.013, -0.02717
  409, -183.106, -0.02758
  410, -189.222, -0.02783
  411, -195.394, -0.02768
  412, -201.622, -0.02726
  413, -207.871, -0.02674
  414, -214.096, -0.02642
  415, -220.271, -0.02646
  416, -226.417, -0.02670
  417, -232.574, -0.02711
  418, -238.786, -0.02751
  419, -245.053, -0.02767
  420, -251.322, -0.02751
  421, -257.508, -0.02715
  422, -263.559, -0.02687
  423, -269.493, -0.02678
  424, -275.366, -0.02660
  425, -281.161, -0.02585
  426, -286.716, -0.02416
  427, -291.770, -0.02175
  428, -296.094, -0.01904
  429, -299.608, -0.01629
  430, -302.383, -0.01361
  431, -304.559, -0.01100
  432, -306.276, -0.00875
  433, -307.675, -0.00738
  434, -308.908, -0.00708
  435, -310.116, -0.00744
  436, -311.367, -0.00758
  437, -312.638, -0.00690
  438, -313.840, -0.00564
  439, -314.899, -0.00440
  440, -315.787, -0.00382
  441, -316.526, -0.00373
  442, -317.156, -0.00365
  443, -317.709, -0.00331
  444, -318.194, -0.00267
  445, -318.584, -0.00172
  446, -318.826, -0.00086
  447, -318.878, -0.00068
