PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:30:30,450

Sample #,Voltage (V),Current(A)
  224, -225.038, 0.02926
  225, -218.431, 0.02936
  226, -211.964, 0.02851
  227, -205.608, 0.02713
  228, -199.326, 0.02645
  229, -193.084, 0.02710
  230, -186.853, 0.02819
  231, -180.587, 0.02861
  232, -174.229, 0.02834
  233, -167.717, 0.02849
  234, -161.019, 0.02981
  235, -154.133, 0.03146
  236, -147.096, 0.03203
  237, -139.956, 0.03119
  238, -132.751, 0.03024
  239, -125.490, 0.03056
  240, -118.176, 0.03194
  241, -110.845, 0.03282
  242, -103.581, 0.03214
  243, -96.476, 0.03069
  244, -89.544, 0.03019
  245, -82.675, 0.03122
  246, -75.673, 0.03269
  247, -68.386, 0.03316
  248, -60.779, 0.03257
  249, -52.901, 0.03242
  250, -44.785, 0.03400
  251, -36.380, 0.03698
  252, -27.607, 0.03969
  253, -18.467, 0.04055
  254, -9.078, 0.03963
  255, 0.383, 0.03834
  256, 9.773, 0.03811
  257, 19.010, 0.03908
  258, 28.035, 0.03998
  259, 36.781, 0.03921
  260, 45.189, 0.03654
  261, 53.234, 0.03327
  262, 60.910, 0.03118
  263, 68.197, 0.03087
  264, 75.080, 0.03114
  265, 81.597, 0.03054
  266, 87.885, 0.02883
  267, 94.130, 0.02732
  268, 100.464, 0.02732
  269, 106.907, 0.02850
  270, 113.396, 0.02926
  271, 119.867, 0.02862
  272, 126.311, 0.02725
  273, 132.755, 0.02677
  274, 139.213, 0.02780
  275, 145.672, 0.02921
  276, 152.122, 0.02949
  277, 158.584, 0.02843
  278, 165.079, 0.02729
  279, 171.595, 0.02720
  280, 178.060, 0.02780
  281, 184.395, 0.02790
  282, 190.577, 0.02704
  283, 196.668, 0.02620
  284, 202.759, 0.02660
  285, 208.897, 0.02797
  286, 215.060, 0.02889
  287, 221.189, 0.02828
  288, 227.273, 0.02686
  289, 233.366, 0.02627
  290, 239.554, 0.02696
  291, 245.866, 0.02783
  292, 252.217, 0.02754
  293, 258.461, 0.02627
  294, 264.497, 0.02547
  295, 270.356, 0.02594
  296, 276.142, 0.02695
  297, 281.892, 0.02692
  298, 287.470, 0.02509
  299, 292.599, 0.02210
  300, 297.013, 0.01894
  301, 300.573, 0.01594
  302, 303.292, 0.01287
  303, 305.288, 0.00982
  304, 306.747, 0.00747
  305, 307.904, 0.00653
  306, 308.997, 0.00682
  307, 310.187, 0.00763
  308, 311.494, 0.00803
  309, 312.819, 0.00766
  310, 314.037, 0.00671
  311, 315.082, 0.00566
  312, 315.962, 0.00483
  313, 316.713, 0.00429
  314, 317.349, 0.00384
  315, 317.849, 0.00319
  316, 318.171, 0.00194
  317, 318.290, 0.00045
  318, 318.219, -0.00043
  319, 318.003, 0.00021
  320, 317.701, 0.00184
  321, 317.360, 0.00238
  322, 317.001, 0.00067
  323, 316.628, -0.00001
  324, 316.240, 0.00871
  325, 315.823, 0.03521
  326, 315.371, 0.08001
  327, 314.892, 0.13262
  328, 314.413, 0.17708
  329, 313.959, 0.20222
  330, 313.521, 0.20749
  331, 313.060, 0.19935
  332, 312.551, 0.18272
  333, 312.010, 0.15735
  334, 311.444, 0.12146
  335, 310.786, 0.07825
  336, 309.865, 0.03703
  337, 308.485, 0.00726
  338, 306.502, -0.00790
  339, 303.838, -0.01298
  340, 300.443, -0.01514
  341, 296.267, -0.01849
  342, 291.314, -0.02284
  343, 285.680, -0.02628
  344, 279.527, -0.02797
  345, 273.007, -0.02872
  346, 266.219, -0.02940
  347, 259.238, -0.03018
  348, 252.156, -0.03057
  349, 245.081, -0.03044
  350, 238.088, -0.03015
  351, 231.205, -0.02989
  352, 224.438, -0.02944
  353, 217.800, -0.02860
  354, 211.316, -0.02744
  355, 204.996, -0.02650
  356, 198.805, -0.02615
  357, 192.671, -0.02643
  358, 186.500, -0.02713
  359, 180.216, -0.02784
  360, 173.779, -0.02841
  361, 167.197, -0.02880
  362, 160.490, -0.02900
  363, 153.663, -0.02922
  364, 146.706, -0.02942
  365, 139.606, -0.02981
  366, 132.376, -0.03047
  367, 125.054, -0.03131
  368, 117.695, -0.03212
  369, 110.373, -0.03236
  370, 103.167, -0.03183
  371, 96.133, -0.03073
  372, 89.252, -0.02966
  373, 82.405, -0.02928
  374, 75.415, -0.02977
  375, 68.138, -0.03092
  376, 60.536, -0.03238
  377, 52.653, -0.03394
  378, 44.526, -0.03553
  379, 36.123, -0.03712
  380, 27.370, -0.03853
  381, 18.257, -0.03953
  382, 8.895, -0.04003
  383, -0.528, -0.04010
  384, -9.861, -0.03984
  385, -19.041, -0.03918
  386, -28.042, -0.03797
  387, -36.793, -0.03627
  388, -45.192, -0.03443
  389, -53.170, -0.03287
  390, -60.739, -0.03173
  391, -67.950, -0.03078
  392, -74.827, -0.02977
  393, -81.389, -0.02870
  394, -87.727, -0.02793
  395, -94.014, -0.02774
  396, -100.419, -0.02816
  397, -106.980, -0.02874
  398, -113.601, -0.02907
  399, -120.168, -0.02899
  400, -126.667, -0.02871
  401, -133.164, -0.02875
  402, -139.709, -0.02910
  403, -146.260, -0.02947
  404, -152.726, -0.02938
  405, -159.061, -0.02869
  406, -165.307, -0.02787
  407, -171.532, -0.02729
  408, -177.765, -0.02711
  409, -183.975, -0.02706
  410, -190.132, -0.02690
  411, -196.256, -0.02677
  412, -202.399, -0.02671
  413, -208.586, -0.02677
  414, -214.787, -0.02690
  415, -220.945, -0.02698
  416, -227.055, -0.02716
  417, -233.183, -0.02743
  418, -239.410, -0.02759
  419, -245.738, -0.02750
  420, -252.056, -0.02709
  421, -258.214, -0.02652
  422, -264.143, -0.02596
  423, -269.899, -0.02544
  424, -275.583, -0.02488
  425, -281.211, -0.02404
  426, -286.646, -0.02273
  427, -291.653, -0.02076
  428, -296.010, -0.01807
  429, -299.592, -0.01496
  430, -302.389, -0.01181
  431, -304.481, -0.00907
  432, -306.038, -0.00725
  433, -307.296, -0.00654
  434, -308.491, -0.00674
  435, -309.775, -0.00725
  436, -311.162, -0.00737
  437, -312.567, -0.00695
  438, -313.881, -0.00608
  439, -315.038, -0.00525
  440, -316.024, -0.00453
  441, -316.857, -0.00386
  442, -317.548, -0.00326
  443, -318.085, -0.00259
  444, -318.424, -0.00158
  445, -318.534, -0.00031
  446, -318.421, 0.00059
  447, -318.146, 0.00027
  448, -317.796, -0.00098
  449, -317.434, -0.00125
  450, -317.067, 0.00019
  451, -316.678, -0.00066
  452, -316.259, -0.01254
  453, -315.827, -0.04311
  454, -315.405, -0.09103
  455, -314.995, -0.14402
  456, -314.576, -0.18636
  457, -314.126, -0.20891
  458, -313.635, -0.21250
  459, -313.108, -0.20260
  460, -312.562, -0.18189
  461, -312.012, -0.14961
  462, -311.443, -0.10706
  463, -310.778, -0.06171
  464, -309.884, -0.02418
  465, -308.591, -0.00089
  466, -306.735, 0.00944
  467, -304.178, 0.01311
  468, -300.821, 0.01574
  469, -296.612, 0.01943
  470, -291.579, 0.02361
  471, -285.846, 0.02728
  472, -279.593, 0.02968
  473, -273.002, 0.03041
  474, -266.205, 0.02979
  475, -259.285, 0.02899
  476, -252.302, 0.02909
  477, -245.319, 0.02995
  478, -238.397, 0.03042
  479, -231.588, 0.02971
  480, -224.917, 0.02856
  481, -218.382, 0.02828
  482, -211.957, 0.02897
  483, -205.602, 0.02948
  484, -199.278, 0.02888
  485, -192.973, 0.02777
  486, -186.677, 0.02762
  487, -180.375, 0.02872
  488, -174.016, 0.02986
  489, -167.537, 0.02980
  490, -160.886, 0.02887
  491, -154.050, 0.02862
  492, -147.047, 0.02993
  493, -139.897, 0.03180
  494, -132.612, 0.03263
  495, -125.209, 0.03202
  496, -117.749, 0.03117
  497, -110.339, 0.03123
  498, -103.084, 0.03198
  499, -96.035, 0.03213
  500, -89.128, 0.03113
  501, -82.223, 0.03003
  502, -75.165, 0.03033
  503, -67.854, 0.03220
  504, -60.264, 0.03428
  505, -52.412, 0.03516
  506, -44.302, 0.03489
  507, -35.891, 0.03503
  508, -27.122, 0.03680
  509, -17.996, 0.03972
  510, -8.626, 0.04207
  511, 0.803, 0.04233
  512, 10.120, 0.04072
  513, 19.251, 0.03864
  514, 28.191, 0.03749
  515, 36.933, 0.03744
  516, 45.407, 0.03735
  517, 53.513, 0.03605
  518, 61.184, 0.03342
  519, 68.419, 0.03060
  520, 75.258, 0.02901
  521, 81.767, 0.02899
  522, 88.047, 0.02941
  523, 94.239, 0.02908
  524, 100.488, 0.02785
  525, 106.866, 0.02692
  526, 113.344, 0.02731
  527, 119.839, 0.02848
  528, 126.294, 0.02893
  529, 132.720, 0.02804
